rule,side,length,complexity,val_avg_R,val_total_R,val_n_trades,val_fitness,val_fitness_raw,val_pf,val_win_rate,val_sharpe,val_max_dd,n_episodes_val,max_episode_val,val_half1_avg_R,val_half2_avg_R,stable,train_avg_R,train_n_trades,holdout_avg_R,holdout_total_R,holdout_n_trades,holdout_pf,holdout_win_rate,holdout_sharpe,holdout_max_dd,null_pvalue,null_n,drop_reason,selected_on
~asp_jupiter_sun_opp_orb5 & asp_mars_mercury_conj_orb5,long,2,4,0.6721727698712189,23.52604694549266,35,0.5857471768769591,0.5990805102102924,3.726161471114486,0.6285714285714286,1.1344985301792612,-0.010155734503208835,7,19,0.6990525250242933,0.6524511571249577,True,0.0329768390976074,90,0.21801758589269993,11.990967224098496,55.0,1.6972924790489916,0.5636363636363636,0.5050449412254349,-0.01960531396222498,0.0009995002498750624,2000.0,,validation
asp_mars_mercury_conj_orb5 & ~asp_mars_neptune_trine_orb3,long,2,4,0.599149614780192,17.97448844340576,30,0.5060842826911918,0.5260842826911918,3.2293813152291,0.5666666666666667,0.965193293395404,-0.012889470964662975,6,17,0.6697490275295458,0.5424195378528378,True,0.010088790484885342,95,0.16934746283224897,10.160847769934938,60.0,1.477624578349556,0.5333333333333333,0.43547682934099163,-0.02034094433889,0.0014992503748125937,2000.0,,validation
asp_mercury_pluto_square_orb3 & mercury_sign_aries,short,2,3,0.5891295866863439,14.728239667158597,25,0.49445948776887483,0.5144594877688748,4.664895228482094,0.64,1.1355452819613485,-0.005011773866710811,5,3,0.5607269705358429,0.6019245222349388,True,-0.023591590991685188,46,-0.21757255427617878,-4.351451085523576,20.0,0.4711243463385546,0.5,-0.5365338289569338,-0.022488028551001182,0.0029985007496251873,2000.0,,validation
~asp_jupiter_mercury_opp_orb5 & asp_jupiter_venus_opp_orb5,short,2,4,0.5908851117259225,14.772127793148062,25,0.47773296839573226,0.4977329683957323,3.7476927550210504,0.72,0.9082331112687493,-0.005026905590005959,5,8,0.5762785423927895,0.5806418204016179,True,-0.1622800036599624,59,0.08477047619641485,2.543114285892446,30.0,1.2006121320172045,0.5333333333333333,0.13180046653418037,-0.028152850071479718,0.0004997501249375312,2000.0,,validation
asp_mercury_pluto_square_orb3 & ~mercury_sign_libra,short,2,4,0.5891295866863439,14.728239667158597,25,0.47445948776887475,0.4944594877688748,4.664895228482094,0.64,1.1355452819613485,-0.005011773866710811,5,3,0.5607269705358429,0.6019245222349388,True,0.11514245817739228,120,-0.16342927910145957,-7.354317559565681,45.0,0.6307425881794938,0.4444444444444444,-0.45302086593104934,-0.04759914596602122,0.0009995002498750624,2000.0,,validation
~asp_jupiter_sun_opp_orb5 & asp_mars_mercury_conj_orb5 & ~asp_mars_pluto_trine_orb1,long,3,7,0.6721727698712189,23.52604694549266,35,0.4557471768769591,0.4690805102102924,3.726161471114486,0.6285714285714286,1.1344985301792612,-0.010155734503208835,8,19,0.6990525250242933,0.6524511571249577,True,0.03744026098517387,90,0.21801758589269993,11.990967224098496,55.0,1.6972924790489916,0.5636363636363636,0.5050449412254349,-0.01960531396222498,0.0009995002498750624,2000.0,,validation
~asp_jupiter_sun_opp_orb5 & asp_mars_mercury_conj_orb5 & ~asp_neptune_sun_sextile_orb5,long,3,7,0.6721727698712189,23.52604694549266,35,0.4557471768769591,0.4690805102102924,3.726161471114486,0.6285714285714286,1.1344985301792612,-0.010155734503208835,7,19,0.6990525250242933,0.6524511571249577,True,0.02826160036099503,89,0.13097428924917082,6.548714462458541,50.0,1.391227303915362,0.56,0.29945813125224696,-0.026961682370350015,0.0014992503748125937,2000.0,,validation
~asp_jupiter_sun_opp_orb5 & asp_mars_mercury_conj_orb5 & ~asp_moon_uranus_opp_orb1,long,3,7,0.6721727698712189,23.52604694549266,35,0.4557471768769591,0.4690805102102924,3.726161471114486,0.6285714285714286,1.1344985301792612,-0.010155734503208835,7,19,0.6990525250242933,0.6524511571249577,True,0.0329768390976074,90,0.21801758589269993,11.990967224098496,55.0,1.6972924790489916,0.5636363636363636,0.5050449412254349,-0.01960531396222498,0.0014992503748125937,2000.0,,validation
~asp_jupiter_sun_opp_orb5 & asp_mars_mercury_conj_orb5 & ~asp_saturn_sun_opp_orb3,long,3,7,0.6721727698712189,23.52604694549266,35,0.4557471768769591,0.4690805102102924,3.726161471114486,0.6285714285714286,1.1344985301792612,-0.010155734503208835,7,16,0.6990525250242933,0.6524511571249577,True,0.0329768390976074,90,0.21801758589269993,11.990967224098496,55.0,1.6972924790489916,0.5636363636363636,0.5050449412254349,-0.01960531396222498,0.0024987506246876563,2000.0,,validation
~asp_jupiter_sun_opp_orb5 & asp_mars_mercury_conj_orb5 & ~asp_uranus_venus_trine_orb5,long,3,7,0.6721727698712189,23.52604694549266,35,0.4557471768769591,0.4690805102102924,3.726161471114486,0.6285714285714286,1.1344985301792612,-0.010155734503208835,7,19,0.6990525250242933,0.6524511571249577,True,0.03355354949955147,90,0.21475325323168457,11.811428927742652,55.0,1.6355594323207507,0.5636363636363636,0.49861650502939686,-0.025052324517921054,0.0009995002498750624,2000.0,,validation
~asp_jupiter_sun_opp_orb5 & asp_mars_mercury_conj_orb5 & ~asp_moon_neptune_trine_orb1,long,3,7,0.6721727698712189,23.52604694549266,35,0.4557471768769591,0.4690805102102924,3.726161471114486,0.6285714285714286,1.1344985301792612,-0.010155734503208835,7,19,0.6990525250242933,0.6524511571249577,True,0.0329768390976074,90,0.21801758589269993,11.990967224098496,55.0,1.6972924790489916,0.5636363636363636,0.5050449412254349,-0.01960531396222498,0.0009995002498750624,2000.0,,validation
~asp_jupiter_sun_opp_orb5 & asp_mars_mercury_conj_orb5 & ~mercury_sign_aquarius,long,3,7,0.6721727698712189,23.52604694549266,35,0.4557471768769591,0.4690805102102924,3.726161471114486,0.6285714285714286,1.1344985301792612,-0.010155734503208835,7,19,0.6990525250242933,0.6524511571249577,True,0.0006422886371334989,85,0.21801758589269993,11.990967224098496,55.0,1.6972924790489916,0.5636363636363636,0.5050449412254349,-0.01960531396222498,0.0014992503748125937,2000.0,,validation
asp_moon_neptune_sextile_orb1 & ~pluto_retro,short,2,4,0.5450964523309404,21.803858093237615,40,0.4556433497408268,0.4556433497408268,2.555807023389684,0.625,1.0114426001675827,-0.010039722328924916,8,1,0.6267848087124954,0.4217165260262413,True,-0.06270529029898719,114,-0.10497292957952604,-5.248646478976302,50.0,0.7695214059614284,0.4,-0.25481274792041086,-0.048972211775332175,0.0004997501249375312,2000.0,,validation
asp_mercury_uranus_square_orb5 & mercury_sign_capricorn,short,2,3,0.5493129647316302,16.479388941948905,30,0.44393923307087907,0.4639392330708791,2.8147183205092907,0.6,0.8394676393118673,-0.010049409702326373,5,14,0.5463387905529562,0.47914011810672463,True,-0.1469040975625514,36,0.3953715891227213,1.9768579456136064,5.0,1.986987988302931,0.6,0.24467741240217947,-0.004999058945444945,0.0024987506246876563,2000.0,,validation
~asp_jupiter_sun_opp_orb5 & asp_mars_mercury_conj_orb5 & ~asp_neptune_sun_opp_orb3,long,3,7,0.6527209630599022,25.45611755933619,39,0.44234549240945975,0.45034549240945976,3.3856146028303487,0.6153846153846154,1.1647623698526104,-0.01503127734171461,8,19,0.6990525250242933,0.6196012475517402,True,0.0329768390976074,90,0.21801758589269993,11.990967224098496,55.0,1.6972924790489916,0.5636363636363636,0.5050449412254349,-0.01960531396222498,0.0009995002498750624,2000.0,,validation
~asp_jupiter_sun_opp_orb5 & asp_mars_mercury_conj_orb5 & ~asp_mercury_uranus_trine_orb1,long,3,7,0.6527209630599022,25.45611755933619,39,0.44234549240945975,0.45034549240945976,3.3856146028303487,0.6153846153846154,1.1647623698526104,-0.01503127734171461,8,19,0.6990525250242933,0.6196012475517402,True,0.0329768390976074,90,0.21801758589269993,11.990967224098496,55.0,1.6972924790489916,0.5636363636363636,0.5050449412254349,-0.01960531396222498,0.0014992503748125937,2000.0,,validation
~mercury_sign_aquarius,short,1,2,0.5087953378471901,15.263860135415703,30,0.4417610484309516,0.4617610484309516,2.5829453331009193,0.6333333333333333,0.8968545654373776,-0.010049409702326484,7,233,0.5130715135930648,0.47914011810672463,True,-0.150788755759377,76,0.09490105772928435,4.270547597817796,45.0,1.2030983270146742,0.4888888888888889,0.18710197570748388,-0.0222421796901342,0.0029985007496251873,2000.0,,validation
asp_mars_saturn_trine_orb5 & ~venus_sign_aries,short,2,4,0.5477237441119625,13.693093602799062,25,0.4402257369134663,0.4602257369134663,2.9166353323432204,0.64,0.7893078932606317,-0.014906320235968495,5,13,0.6293946164765793,0.45105685735035317,True,-0.052292720751658646,58,-0.18547708708951519,-9.273854354475759,50.0,0.6083122403025075,0.4,-0.6247386556083317,-0.04819097707780573,0.0029985007496251873,2000.0,,validation
asp_mercury_uranus_square_orb5 & ~pluto_retro,short,2,4,0.5628767134625082,16.886301403875247,30,0.4375730529459045,0.4575730529459045,2.925336146196387,0.6,0.8863455527209005,-0.008051643743477443,5,14,0.5463387905529562,0.5200415777318013,True,0.008818006377344733,78,0.18325088902890121,8.246290006300555,45.0,1.5473229423683414,0.5111111111111111,0.41894570547136123,-0.012757921293119368,0.0034982508745627187,2000.0,,validation
~asp_mars_pluto_trine_orb1 & asp_mars_saturn_trine_orb5,short,2,4,0.5343463948122492,16.564738239179725,31,0.43526233166435896,0.44726233166435897,2.6321964728659437,0.6129032258064516,0.8378660721947974,-0.015060945128506864,7,11,0.40056504620361827,0.6856339384902849,True,-0.052292720751658646,58,-0.1880056777546675,-8.460255498960038,45.0,0.6158837205508515,0.4222222222222222,-0.5839738258711646,-0.045170787706648174,0.004497751124437781,2000.0,,validation
mercury_sign_capricorn & ~venus_sign_sagittarius,short,2,4,0.5395874805611719,16.187624416835156,30,0.43225569028562866,0.4522556902856287,2.767765163911001,0.6333333333333333,0.9542487996217188,-0.019325592067761743,7,21,0.428389530967176,1.051586486877892,False,-0.18162616979631943,71,0.09630654201034207,3.8522616804136827,40.0,1.2030250182560052,0.475,0.17772757546071535,-0.019743867223536382,0.0014992503748125937,2000.0,,validation
~asp_mars_pluto_trine_orb1 & asp_mars_saturn_trine_orb5 & ~venus_sign_aries,short,3,7,0.6891553885170539,17.918040101443403,26,0.42975469665569616,0.4484213633223628,3.8217986746242634,0.6538461538461539,0.9897003694705475,-0.014906320235968495,6,11,0.6293946164765793,0.6856339384902849,True,-0.052292720751658646,58,-0.18547708708951519,-9.273854354475759,50.0,0.6083122403025075,0.4,-0.6247386556083317,-0.04819097707780573,0.0009995002498750624,2000.0,,validation
~asp_neptune_sun_sextile_orb5 & mercury_sign_capricorn,short,2,4,0.6361619762883041,23.53799312266725,37,0.42937903296749175,0.44271236630082506,3.381578023938048,0.7027027027027027,1.091318423761331,-0.010049409702326595,8,24,0.5401412655784653,0.47914011810672463,True,-0.09484071516794437,85,-0.00597225576237114,-0.35833534574226844,60.0,0.9842814007137886,0.45,-0.007564283946099001,-0.03837648534128635,0.0009995002498750624,2000.0,,validation
asp_moon_neptune_sextile_orb1 & ~asp_sun_venus_conj_orb5 & ~pluto_retro,short,3,7,0.6763463544119149,20.290390632357447,30,0.4241125463060228,0.4374458796393561,3.2711487675580595,0.6666666666666666,0.9805911862466289,-0.010039722328924916,6,1,0.6267848087124954,0.6990985569565076,True,-0.038442787669779224,103,-0.05434069109141868,-2.4453310991138406,45.0,0.8674457712739285,0.4222222222222222,-0.12257772111218397,-0.035452558386927846,0.0004997501249375312,2000.0,,validation
~asp_jupiter_venus_sextile_orb3 & asp_mars_saturn_trine_orb5,short,2,4,0.523029066507934,15.69087199523802,30,0.4240260294088158,0.4373593627421491,2.5430702028904606,0.6,0.797940706708493,-0.015060945128506864,6,11,0.40056504620361827,0.6730851181268568,True,-0.005447019701948164,60,-0.20132819380774564,-10.066409690387282,50.0,0.5983340873897374,0.42,-0.6275330335063936,-0.05283880241375882,0.005997001499250375,2000.0,,validation
~asp_jupiter_venus_sextile_orb3 & asp_mars_saturn_trine_orb5 & ~venus_sign_aries,short,3,7,0.6817669543000678,17.044173857501697,25,0.42123986730171814,0.44123986730171816,3.6788503282608627,0.64,0.947167018405833,-0.014906320235968495,5,11,0.6293946164765793,0.6730851181268568,True,-0.005447019701948164,60,-0.18547708708951519,-9.273854354475759,50.0,0.6083122403025075,0.4,-0.6247386556083317,-0.04819097707780573,0.0004997501249375312,2000.0,,validation
~asp_jupiter_sun_opp_orb5 & asp_mars_mercury_conj_orb5 & ~asp_mercury_uranus_trine_orb5,long,3,7,0.6399459102602786,22.39810685910975,35,0.4166125769269453,0.4299459102602786,3.6431875144811277,0.6571428571428571,,,7,19,0.6990525250242933,0.5611370905749253,True,0.04070631122268071,85,,,,,,,,,,,validation
asp_mars_mercury_conj_orb5,long,1,1,0.4443914636556763,15.55370122794867,35,0.41105813032234295,0.42439146365567626,2.3533672966342545,0.5428571428571428,,,7,22,0.6990525250242933,0.10484338183085336,True,0.0329768390976074,90,,,,,,,,,,,validation
