rule,side,length,complexity,val_avg_R,val_total_R,val_n_trades,val_fitness,val_fitness_raw,val_pf,val_win_rate,val_sharpe,val_max_dd,n_episodes_val,max_episode_val,val_half1_avg_R,val_half2_avg_R,stable,train_avg_R,train_n_trades,holdout_avg_R,holdout_total_R,holdout_n_trades,holdout_pf,holdout_win_rate,holdout_sharpe,holdout_max_dd,null_pvalue,null_n,drop_reason,selected_on,partial_stage
~asp_jupiter_sun_opp_orb5 & asp_mars_mercury_conj_orb5 & ~asp_mars_pluto_trine_orb1,long,3,7,0.6790805102102924,23.76781785736023,35,0.4557471768769591,0.4690805102102924,3.8043020960986595,0.6285714285714286,,,8,19,,,False,0.03744026098517387,90,,,,,,,,,,,validation,L3_beam
~asp_jupiter_sun_opp_orb5 & asp_mars_mercury_conj_orb5 & ~asp_neptune_sun_sextile_orb5,long,3,7,0.6790805102102924,23.76781785736023,35,0.4557471768769591,0.4690805102102924,3.8043020960986595,0.6285714285714286,,,7,19,,,False,0.02826160036099503,89,,,,,,,,,,,validation,L3_beam
~asp_jupiter_sun_opp_orb5 & asp_mars_mercury_conj_orb5 & ~asp_moon_uranus_opp_orb1,long,3,7,0.6790805102102924,23.76781785736023,35,0.4557471768769591,0.4690805102102924,3.8043020960986595,0.6285714285714286,,,7,19,,,False,0.0329768390976074,90,,,,,,,,,,,validation,L3_beam
~asp_jupiter_sun_opp_orb5 & asp_mars_mercury_conj_orb5 & ~asp_saturn_sun_opp_orb3,long,3,7,0.6790805102102924,23.76781785736023,35,0.4557471768769591,0.4690805102102924,3.8043020960986595,0.6285714285714286,,,7,16,,,False,0.0329768390976074,90,,,,,,,,,,,validation,L3_beam
~asp_jupiter_sun_opp_orb5 & asp_mars_mercury_conj_orb5 & ~asp_uranus_venus_trine_orb5,long,3,7,0.6790805102102924,23.76781785736023,35,0.4557471768769591,0.4690805102102924,3.8043020960986595,0.6285714285714286,,,7,19,,,False,0.03355354949955147,90,,,,,,,,,,,validation,L3_beam
~asp_jupiter_sun_opp_orb5 & asp_mars_mercury_conj_orb5 & ~asp_moon_neptune_trine_orb1,long,3,7,0.6790805102102924,23.76781785736023,35,0.4557471768769591,0.4690805102102924,3.8043020960986595,0.6285714285714286,,,7,19,,,False,0.0329768390976074,90,,,,,,,,,,,validation,L3_beam
~asp_jupiter_sun_opp_orb5 & asp_mars_mercury_conj_orb5 & ~mercury_sign_aquarius,long,3,7,0.6790805102102924,23.76781785736023,35,0.4557471768769591,0.4690805102102924,3.8043020960986595,0.6285714285714286,,,7,19,,,False,0.0006422886371334989,85,,,,,,,,,,,validation,L3_beam
~asp_jupiter_sun_opp_orb5 & asp_mars_mercury_conj_orb5 & ~asp_neptune_sun_opp_orb3,long,3,7,0.6603454924094597,25.75347420396893,39,0.44234549240945975,0.45034549240945976,3.4566353487896797,0.6153846153846154,,,8,19,,,False,0.0329768390976074,90,,,,,,,,,,,validation,L3_beam
~asp_jupiter_sun_opp_orb5 & asp_mars_mercury_conj_orb5 & ~asp_mercury_uranus_trine_orb1,long,3,7,0.6603454924094597,25.75347420396893,39,0.44234549240945975,0.45034549240945976,3.4566353487896797,0.6153846153846154,,,8,19,,,False,0.0329768390976074,90,,,,,,,,,,,validation,L3_beam
~asp_mars_pluto_trine_orb1 & asp_mars_saturn_trine_orb5 & ~venus_sign_aries,short,3,7,0.6584213633223628,20.411062262993248,31,0.42975469665569616,0.4484213633223628,3.411847661391253,0.6451612903225806,,,6,11,,,False,-0.052292720751658646,58,,,,,,,,,,,validation,L3_beam
asp_moon_neptune_sextile_orb1 & ~asp_sun_venus_conj_orb5 & ~pluto_retro,short,3,7,0.6474458796393561,22.660605787377463,35,0.4241125463060228,0.4374458796393561,3.061532009308219,0.6571428571428571,,,6,1,,,False,-0.038442787669779224,103,,,,,,,,,,,validation,L3_beam
~asp_jupiter_venus_sextile_orb3 & asp_mars_saturn_trine_orb5 & ~venus_sign_aries,short,3,7,0.6512398673017181,19.537196019051542,30,0.42123986730171814,0.44123986730171816,3.3085883488839927,0.6333333333333333,,,5,11,,,False,-0.005447019701948164,60,,,,,,,,,,,validation,L3_beam
~asp_jupiter_sun_opp_orb5 & asp_mars_mercury_conj_orb5 & ~asp_mercury_uranus_trine_orb5,long,3,7,0.6399459102602786,22.39810685910975,35,0.4166125769269453,0.4299459102602786,3.6431875144811277,0.6571428571428571,,,7,19,,,False,0.04070631122268071,85,,,,,,,,,,,validation,L3_beam
~asp_jupiter_sun_opp_orb5 & asp_mars_mercury_conj_orb5 & ~asp_moon_uranus_opp_orb3,long,3,7,0.6334237217800432,22.169830262301513,35,0.41009038844671,0.4234237217800433,3.615612890927232,0.6285714285714286,,,7,19,,,False,0.0329768390976074,90,,,,,,,,,,,validation,L3_beam
~asp_jupiter_sun_opp_orb5 & asp_mars_mercury_conj_orb5 & ~asp_mars_neptune_trine_orb1,long,3,7,0.6249152532131582,21.872033862460537,35,0.40158191987982494,0.41491525321315825,3.5807204380454696,0.6285714285714286,,,7,19,,,False,0.01009345347706858,95,,,,,,,,,,,validation,L3_beam
asp_moon_neptune_sextile_orb1 & ~pluto_retro & ~venus_sign_sagittarius,short,3,7,0.6179236722239838,24.716946888959352,40,0.4012570055573172,0.40792367222398385,2.9014218400725156,0.65,,,7,1,,,False,-0.05159726045791548,103,,,,,,,,,,,validation,L3_beam
asp_moon_neptune_sextile_orb1 & ~asp_uranus_venus_trine_orb5 & ~pluto_retro,short,3,7,0.6179236722239838,24.716946888959352,40,0.4012570055573172,0.40792367222398385,2.9014218400725156,0.65,,,7,1,,,False,-0.06623339752874263,109,,,,,,,,,,,validation,L3_beam
~asp_jupiter_sun_opp_orb5 & asp_mars_mercury_conj_orb5 & ~asp_mars_pluto_trine_orb3,long,3,7,0.623591154535096,21.82569040872836,35,0.4002578212017627,0.413591154535096,3.913597214686672,0.6285714285714286,,,7,19,,,False,0.026057521169036944,90,,,,,,,,,,,validation,L3_beam
~asp_neptune_sun_sextile_orb5 & mercury_sign_capricorn & ~venus_sign_sagittarius,short,3,7,0.6253821357950363,18.76146407385109,30,0.39538213579503634,0.41538213579503636,3.288447083474051,0.7,,,7,16,,,False,-0.15497944996234714,76,,,,,,,,,,,validation,L3_beam
~asp_jupiter_sun_opp_orb5 & asp_mars_mercury_conj_orb5 & ~asp_moon_pluto_conj_orb1,long,3,7,0.6128566146466872,22.675694741927426,37,0.39218994798002055,0.4028566146466872,3.3700486658524604,0.5945945945945946,,,8,16,,,False,0.014135323215636222,92,,,,,,,,,,,validation,L3_beam
~asp_jupiter_sun_opp_orb5 & asp_mars_mercury_conj_orb5 & ~asp_mars_neptune_trine_orb3,long,3,7,0.6060842826911917,18.18252848073575,30,0.37608428269119176,0.3960842826911918,3.297985862019931,0.5666666666666667,,,6,17,,,False,0.010088790484885342,95,,,,,,,,,,,validation,L3_beam
asp_mars_mercury_conj_orb5 & ~asp_mars_neptune_trine_orb3 & ~asp_mars_pluto_trine_orb1,long,3,7,0.6060842826911917,18.18252848073575,30,0.37608428269119176,0.3960842826911918,3.297985862019931,0.5666666666666667,,,7,17,,,False,0.014317295431000928,95,,,,,,,,,,,validation,L3_beam
asp_mars_mercury_conj_orb5 & ~asp_mars_neptune_trine_orb3 & ~asp_neptune_sun_sextile_orb5,long,3,7,0.6060842826911917,18.18252848073575,30,0.37608428269119176,0.3960842826911918,3.297985862019931,0.5666666666666667,,,6,17,,,False,0.005380872440510626,94,,,,,,,,,,,validation,L3_beam
asp_mars_mercury_conj_orb5 & ~asp_mars_neptune_trine_orb3 & ~asp_moon_uranus_opp_orb1,long,3,7,0.6060842826911917,18.18252848073575,30,0.37608428269119176,0.3960842826911918,3.297985862019931,0.5666666666666667,,,6,17,,,False,0.010088790484885342,95,,,,,,,,,,,validation,L3_beam
asp_mars_mercury_conj_orb5 & ~asp_mars_neptune_trine_orb3 & ~asp_saturn_sun_opp_orb3,long,3,7,0.6060842826911917,18.18252848073575,30,0.37608428269119176,0.3960842826911918,3.297985862019931,0.5666666666666667,,,6,16,,,False,0.010088790484885342,95,,,,,,,,,,,validation,L3_beam
asp_mars_mercury_conj_orb5 & ~asp_mars_neptune_trine_orb3 & ~asp_uranus_venus_trine_orb5,long,3,7,0.6060842826911917,18.18252848073575,30,0.37608428269119176,0.3960842826911918,3.297985862019931,0.5666666666666667,,,6,17,,,False,0.010635147707779714,95,,,,,,,,,,,validation,L3_beam
