rule,length,complexity,train_fitness,train_excess_sharpe,train_sharpe,val_fitness,val_excess_sharpe,val_sharpe,val_sharpe_bh,holdout_fitness,holdout_excess_sharpe,holdout_sharpe,holdout_sharpe_bh,null_pvalue,null_n,selected_on
jupiter_sign_sagittarius & saturn_sign_pisces,2,3,-0.22722249160495497,-0.19722249160495497,0.30541019895706545,0.5542419580541849,0.5842419580541849,0.9766823869523098,0.39244042889812486,-0.7852880872991425,-0.7552880872991424,0.0,0.7552880872991424,0.002997002997002997,1000.0,validation
~jupiter_sign_capricorn & saturn_sign_pisces,2,4,-0.6127364823295602,-0.5727364823295602,-0.07010379176753972,0.5442419580541848,0.5842419580541849,0.9766823869523098,0.39244042889812486,-0.3199130581403537,-0.2799130581403537,0.4753750291587887,0.7552880872991424,0.002997002997002997,1000.0,validation
~asp_saturn_sun_sextile & saturn_sign_pisces,2,4,-0.6168272932672128,-0.5768272932672127,-0.07419460270519229,0.478012398088745,0.518012398088745,0.9104528269868698,0.39244042889812486,-0.33717107161172916,-0.2971710716117292,0.45811701568741325,0.7552880872991424,0.008991008991008992,1000.0,validation
~asp_saturn_venus_sextile & saturn_sign_pisces,2,4,-0.5981223764581531,-0.5581223764581531,-0.05548968589613262,0.46146000175533547,0.5014600017553354,0.8939004306534604,0.39244042889812486,-0.3447115784321472,-0.30471157843214725,0.4505765088669952,0.7552880872991424,0.007992007992007992,1000.0,validation
~saturn_ingress_1d & saturn_sign_pisces,2,4,-0.6136412701022684,-0.5736412701022684,-0.07100857954024802,0.45661459870648236,0.49661459870648234,0.8890550276046072,0.39244042889812486,-0.3248624933956628,-0.28486249339566283,0.4704255939034796,0.7552880872991424,0.01098901098901099,1000.0,validation
~asp_saturn_sun_trine & saturn_sign_pisces,2,4,-0.6603858065923002,-0.6203858065923001,-0.11775311603027971,0.4530402319745811,0.4930402319745811,0.8854806608727059,0.39244042889812486,-0.35634107043435637,-0.3163410704343564,0.43894701686478604,0.7552880872991424,0.005994005994005994,1000.0,validation
~asp_jupiter_venus_square & saturn_sign_pisces,2,4,-0.5954562867248254,-0.5554562867248254,-0.05282359616280495,0.4362575931165127,0.47625759311651267,0.8686980220146375,0.39244042889812486,-0.3887937779016609,-0.34879377790166094,0.4064943093974815,0.7552880872991424,0.013986013986013986,1000.0,validation
saturn_sign_pisces,1,1,-0.5827364823295602,-0.5727364823295602,-0.07010379176753972,0.4308869240294833,0.4408869240294833,0.8333273529276082,0.39244042889812486,-0.28991305814035373,-0.2799130581403537,0.4753750291587887,0.7552880872991424,0.01998001998001998,1000.0,validation
~asp_mars_venus_conj & saturn_sign_aries,2,4,-0.5426326905620205,-0.5026326905620204,0.0,0.42661384522698187,0.46661384522698185,0.8590542741251067,0.39244042889812486,-0.3633229610557787,-0.32332296105577873,0.4319651262433637,0.7552880872991424,0.05194805194805195,1000.0,validation
~asp_jupiter_sun_square & saturn_sign_pisces,2,4,-0.6288042007058449,-0.5888042007058448,-0.08617151014382438,0.4197993298350472,0.4597993298350472,0.852239758733172,0.39244042889812486,-0.3227665416846766,-0.28276654168467663,0.4725215456144658,0.7552880872991424,0.01098901098901099,1000.0,validation
~mars_sign_sagittarius & saturn_sign_aries,2,4,-0.5426326905620205,-0.5026326905620204,0.0,0.41307765582460354,0.4530776558246035,0.8455180847227284,0.39244042889812486,-0.3633229610557787,-0.32332296105577873,0.4319651262433637,0.7552880872991424,0.06793206793206794,1000.0,validation
~jupiter_ingress_1d & saturn_sign_pisces,2,4,-0.634957770264349,-0.5949577702643489,-0.09232507970232855,0.40901322033872056,0.44901322033872054,0.8414536492368454,0.39244042889812486,-0.33677109497112945,-0.29677109497112947,0.45851699232801296,0.7552880872991424,0.01998001998001998,1000.0,validation
~saturn_sign_gemini & ~saturn_sign_virgo,2,5,-0.10925091085882661,-0.05925091085882661,0.4433817797031938,0.4040911606456057,0.4540911606456057,0.8465315895437305,0.39244042889812486,-0.010346032522876539,0.039653967477123464,0.7949420547762659,0.7552880872991424,0.05194805194805195,1000.0,validation
saturn_sign_pisces & ~sun_sign_cancer,2,4,-0.6467497254447788,-0.6067497254447788,-0.10411703488275835,0.40083710345958967,0.44083710345958965,0.8332775323577145,0.39244042889812486,-0.374776445555145,-0.334776445555145,0.4205116417439974,0.7552880872991424,0.013986013986013986,1000.0,validation
mars_sign_virgo & ~saturn_sign_gemini,2,4,-0.5786358510827608,-0.5386358510827608,-0.0360031605207404,0.39986087515919744,0.4398608751591974,0.8323013040573223,0.39244042889812486,-0.3014350897589391,-0.26143508975893914,0.4938529975402033,0.7552880872991424,0.000999000999000999,1000.0,validation
saturn_sign_pisces & ~sun_sign_capricorn,2,4,-0.6132330611944704,-0.5732330611944704,-0.07060037063244998,0.3992586912736985,0.4392586912736985,0.8316991201718233,0.39244042889812486,-0.3367269786765487,-0.29672697867654874,0.4585611086225937,0.7552880872991424,0.015984015984015984,1000.0,validation
