rule,length,complexity,train_fitness,train_excess_sharpe,train_sharpe,val_fitness,val_excess_sharpe,val_sharpe,val_sharpe_bh,val_fitness_raw,n_episodes_val,max_episode_val,n_episodes_train_val,val_half1_excess_sharpe,val_half2_excess_sharpe,stable,holdout_fitness,holdout_excess_sharpe,holdout_sharpe,holdout_sharpe_bh,null_pvalue,null_n,selected_on,drop_reason
~asp_mercury_uranus_square_orb5 & asp_pluto_uranus_sextile_orb3 & ~mars_ingress_3d,3,7,-0.6623843443126837,-0.5573843443126837,-0.054751653750663244,0.5639316170478494,0.6689316170478494,1.0613720459459743,0.39244042889812486,0.5639316170478494,30,50,39,0.8746394508931497,-0.2044341522827901,False,-0.8602880872991424,-0.7552880872991424,0.0,0.7552880872991424,0.0005998800239952009,5000.0,validation,
~asp_moon_saturn_trine_orb1 & asp_pluto_uranus_sextile_orb3 & ~mars_ingress_3d,3,7,-0.5874117589864563,-0.4824117589864562,0.020220931575564184,0.5563832675675302,0.6613832675675302,1.053823696465655,0.39244042889812486,0.5563832675675302,33,76,44,0.8638944076342892,-0.2044341522827901,False,-0.8602880872991424,-0.7552880872991424,0.0,0.7552880872991424,0.0005998800239952009,5000.0,validation,
~asp_moon_saturn_trine_orb1 & asp_pluto_uranus_sextile_orb3 & ~sun_sign_cancer,3,7,-0.6251484986557341,-0.5201484986557341,-0.01751580809371371,0.549955434749648,0.654955434749648,1.047395863647773,0.39244042889812486,0.549955434749648,14,128,21,0.854745221252196,-0.2044341522827901,False,-0.8602880872991424,-0.7552880872991424,0.0,0.7552880872991424,0.0009998000399920016,5000.0,validation,
~asp_mercury_uranus_square_orb5 & asp_pluto_uranus_sextile_orb3 & ~sun_sign_cancer,3,7,-0.679073349441788,-0.574073349441788,-0.07144065887976753,0.547951939830843,0.652951939830843,1.045392368728968,0.39244042889812486,0.547951939830843,12,106,18,0.8518936568779791,-0.2044341522827901,False,-0.8602880872991424,-0.7552880872991424,0.0,0.7552880872991424,0.0001999600079984003,5000.0,validation,
~asp_moon_saturn_trine_orb1 & asp_pluto_uranus_sextile_orb3 & ~mercury_sign_cancer,3,7,-0.5882087779388282,-0.48320877793882816,0.019423912623192287,0.5470426299512774,0.6520426299512774,1.0444830588494023,0.39244042889812486,0.5470426299512774,14,133,20,0.8505994642138652,-0.2044341522827901,False,-0.8602880872991424,-0.7552880872991424,0.0,0.7552880872991424,0.0007998400319936012,5000.0,validation,
~asp_mercury_uranus_square_orb5 & asp_pluto_uranus_sextile_orb3 & ~mars_ingress_5d,3,7,-0.659162190480928,-0.554162190480928,-0.051529499918907505,0.5449045724035706,0.6499045724035706,1.0423450013016955,0.39244042889812486,0.5449045724035706,30,50,39,0.8475564908439286,-0.2044341522827901,False,-0.8602880872991424,-0.7552880872991424,0.0,0.7552880872991424,0.001999600079984003,5000.0,validation,
~asp_mercury_uranus_square_orb5 & asp_pluto_uranus_sextile_orb3 & ~mercury_sign_cancer,3,7,-0.662142298585541,-0.557142298585541,-0.054509608023520596,0.5447929172956805,0.6497929172956804,1.0422333461938054,0.39244042889812486,0.5447929172956805,12,106,18,0.8473975808309999,-0.2044341522827901,False,-0.8602880872991424,-0.7552880872991424,0.0,0.7552880872991424,0.0011997600479904018,5000.0,validation,
~asp_moon_saturn_trine_orb1 & asp_pluto_uranus_sextile_orb3 & ~venus_sign_aries,3,7,-0.41662649237240934,-0.31162649237240936,0.19100619818961104,0.5426980548637166,0.6476980548637166,1.0401384837618415,0.39244042889812486,0.5426980548637166,14,150,18,0.8444161673734387,-0.2044341522827901,False,-0.8602880872991424,-0.7552880872991424,0.0,0.7552880872991424,0.0013997200559888023,5000.0,validation,
~asp_jupiter_sun_sextile_orb5 & ~asp_moon_saturn_trine_orb1 & asp_pluto_uranus_sextile_orb3,3,7,-0.5641213091606493,-0.45912130916064925,0.04351138140137115,0.5411083501195386,0.6461083501195386,1.0385487790176635,0.39244042889812486,0.5411083501195386,17,164,23,0.8421537474580927,-0.2044341522827901,False,-0.8602880872991424,-0.7552880872991424,0.0,0.7552880872991424,0.003199360127974405,5000.0,validation,
~asp_moon_saturn_trine_orb1 & asp_pluto_uranus_sextile_orb3 & ~mars_ingress_5d,3,7,-0.5809017260152717,-0.47590172601527164,0.026730964546748757,0.5393848547318494,0.6443848547318494,1.0368252836299743,0.39244042889812486,0.5393848547318494,32,74,43,0.8397009711928565,-0.2044341522827901,False,-0.8602880872991424,-0.7552880872991424,0.0,0.7552880872991424,0.0007998400319936012,5000.0,validation,
